매장명,주소
신천역,서울 송파구 올림픽로 130 (잠실동)
성동금호,서울 성동구 금호동4가 144-1(독서당로 314)
자양,서울 광진구 뚝섬로 552
경리단길,서울 용산구 이태원동 211-14
흑석DT,서울 동작구 흑석동 9-46
서울숲,"서울 성동구 왕십리로 114 (성수동1가, 신한빌딩)"
성수역,서울 성동구 아차산로7길 4
건대스타시티,서울 광진구 아차산로 262
세종조치원,세종특별자치시 조치원읍 으뜸길 222 (원리)
세종해밀,"세종특별자치시 113호,114호 세종특별자치시 해밀3로 51 (해밀동, 스카이허브)"
세종도담,"세종특별자치시 도담동 246-5 세종한신휴시티 106,107호"
세종고운,"세종특별자치시 만남로 140 (고운동, 에이스프라자)"
세종아름,세종특별자치시 세종특별자치시 아름동 1360 해피라움3 107호
세종홈플러스,"세종특별자치시 어진동 세종특별자치시 절재로 154 (어진동, 홈플러스 세종점)"
세종종촌,"세종특별자치시 도움1로 106 1층 105호(종촌동, 메가시티)"
세종다정,"세종특별자치시 다정중앙로 52 (다정동, 페스티발2)"
세종반곡,"세종특별자치시 세종특별자치시 세종특별자치시 반곡동 45-14 시드니블루 101호, 102호"
세종나성,"세종특별자치시 세종특별자치시 세종특별자치시 나성동 361-50 퍼스트원 194호, 195호"
세종새롬,"세종특별자치시 새롬중앙로 64 (새롬동, 세종영광프라자)"
세종소담,"세종특별자치시 시청대로 236 (소담동, 새샘마을3단지)"
세종한솔,세종특별자치시 세종특별자치시 세종특별자치시 한솔동 971 첫마을5단지 제씨상가동 제지1층 103
세종보람,"세종특별자치시 남세종로 450 (보람동, 보람빌딩)"
세종대평,세종특별자치시 세종특별자치시 세종특별자치시 대평동 568-1
세종이마트,세종특별자치시 가람동 65
울산언양,울산 울주군 언양읍 헌양길 50 (동부리)
울산구영리,울산 울주군 범서읍 구영로 94
울산천상,"울산 울주군 범서읍 천상중앙길 70 (천상리, 천상중앙시장형상가)"
울산천곡,"울산 북구 가재길 82 (천곡동, 리더스빌딩)"
울산매곡,울산 북구 신기1길 2 (매곡동)
울산상안홈플러스,울산 북구 신답로 26 홈플러스 1층
울산호계,울산 북구 호계로 304
울산무거,울산 남구 무거동 328-7 (북부순환도로 13)
울산대,울산 남구 대학로 86
울산태화,울산 중구 태화로 181 (태화동)
울산송정,울산 북구 화산로 115 (송정동)
울산우정,울산 중구 명륜로 44
울산옥동,울산 남구 문수로 337
울산성남,울산 중구 성남동 219-20
울산중구홈플러스,울산 중구 번영로 475 홈플러스 1층
울산화봉,울산 북구 화봉동 449-6
울산신정,울산 남구 신정동 495-3
울산병영,울산 중구 번영로 585
울산강동,울산 북구 화암1길 32 (산하동)
울산공업탑,울산 남구 삼산로 14
